Proto_Germanic_Ancestor,Meaning,Target_Old_English,Modern_English,Modern_German,Modern_Dutch,Modern_Swedish
hrīmô,"frost, hoarfrost, rime",hrīm,rime,Reif,rijm,rim
rastō,interval,ræst,rest,Rast,rast,rast
raskuz,"rapid, snell",*ræsċ,rash,rasch,ras,rask
gaburjaną,to be due; beseem,ġebyrian,-,gebühren,gebeuren,-
burþiz,"bearing, carrying",byrd,birth,Burt,boorte,börda
brunnô,source; wellspring; fountain,burna,bourne,Born,bron,brunn
sweraną,to hurt,swor,-,schwären,zweren,-
murginaz,morning,morgen,morrow,Morgen,morgen,morgon
murgnagebō,morning gift,morgenġiefu,morning gift,Morgengabe,morgengave,morgongåva
rafsijaną,to snatch,refsan,berisp,-,berispen,räfsa
hwōstōną,to cough,*hwōstian,whoost,-,hoesten,hosta
hūnaz,something swollen; a swelling,*hūn,hune,-,huin,-
krukjō,curved staff,cryċċ,crutch,Krücke,kruk,krycka
bazją,berry,berġe,berry,Beere,bère,bär
sumpaz,"fungus, sponge",*sump,sump,Sumpf,zomp,sump
smeuganą,"to creep, slip through or into",smūgan,-,schmiegen,smuigen,smyga
hugiz,"mind, thought, sense, understanding",hyġe,-,-,heug,hug
targijaną,to pull; yank; tug; tease,terġan,tarry,zergen,tergen,targa
skehaną,to move quickly,sċēon,-,geschehen,-,ske
skallijaną,to make a sound; cause (one) to sound; ring,sċiellan,shill,schellen,schellen,skälla
ernustuz,seriousness; earnest; strength; solidity,eornust,earnest,Ernst,ernst,-
daigaz,that which is formed or kneaded; dough,dāg,dough,Teig,deeg,deg
skaggiją,that which protrudes or sticks out,sċeacga,shag,-,-,skägg
bērō,"that which bears or carries; stretcher, bier",bēr,bier,Bahre,baar,bår
barwijǭ,bier; stretcher,*bearwe,barrow,Bere,berrie,bör
fatōną,to hold; seize,fatian,fatch,fassen,vatten,fatta
grimmaz,"grim, grimly, fierce",grimm,grim,grimm,grim,grym
nutiz,"useful, useable, profitable",nytt,nait,nütze,-,nyter
framjaną,"to promote, to further",fremman,frame,framen,frame,främja
flatją,a level surface; level ground,flett,flet,Flett,flat,-
flōkaną,"to beat, strike",flōcan,-,fluchen,vloeken,-
skelduz,shield,sċield,shield,Schild,schild,sköld
rūmijaną,"to make room, to clear",rȳman,ream,räumen,ruimen,rymma
legrą,"a lying, a place where one lies; camp",leġer,lair,Lager,leger,lager
nebulaz,"fog, mist",nifol,-,Nebel,nevel,-
rēsō,a running,rǣs,race,-,raes,race
rīkijadōmaz,might; power; dominion; rule,rīċedōm,richdom,Reichtum,rijkdom,rikedom
baugijaną,"to bend, bow",bīeġan,bay,beugen,-,böja
rukkōną,"to move, move back and forth, rock",roccian,rock,rocken,rokken,rucka
rutāną,to rot,rotian,rot,rotten,rotten,rutten
taugijaną,"to stretch, draw",tīeġan,tie,-,-,töja
kīnaną,"to split open, sprout, germinate",ċīnan,chine,keimen,-,-
skrinkwaną,"to shrink, pull together, shrivel",sċrincan,shrink,-,schrinken,-
skrankijaną,"to limit, restrict; to ensnare, catch someone up",sċrenċan,-,schränken,schrenken,-
mēaną,"to mow, cut down (grass, crops)",māwan,mow,mähen,maaien,meja
midją,middle,midd,mid,Mitte,-,-
arhwō,arrow,earh,arrow,-,-,Orvar
innai,"within, inside",inne,in,-,-,inne
innanē,"from inside, from within (ablative direction)",innan,-,innen,-,innan
ubanē,from above,ufan,-,oben,-,ovan
ūtai,"outside, without",ūte,out,-,uit,ute
ūtanē,"from without, outside of",ūtan,outen,außen,uite-,utan
tīhaną,"to show, point out",tēon,-,zeihen,tijgen,te
aukô,"increase, addition",ēaca,eke,-,-,och
batô,"improvement, recovery",*bata,batful,-,baat,-
silubrīnaz,"silvern, made of silver",seolfren,silvern,silbern,zilveren,-
gulþīnaz,"golden, made of gold",gylden,gilden,gülden,gouden,gyllene
bēriz,"bearable, fruitful, viable",-bǣre,-bearing,-bar,-baar,-bar
brukiz,"breach, fissure, breaking",bryċe,breach,Bruch,breuk,bråk
fangiz,"a catch, taking, contact; booty",feng,-,Fang,vang,-
walakuzjǭ,"valkyrie, literally ""chooser of the slain""",wælcyrġe,valkyrie,Walküre,Walkure,valkyria
unhtwǭ,last part of the night,ūht,-,Uchte,ochtend,otte
serþaną,"to hit; to violate sexually (apparently linked with rape, homosexuality and bestiality)",seorþan,sard,serten,zeerden,-
tumþiz,"seemliness, agreement",toft,toft,Zunft,-,tomt
wikkōną,to practice sorcery,wiċċian,witch,wicken,wikken,-
irþīnaz,"earthen, made of earth",eorþen,earthen,irden,aarden,-
tuhtiz,a pulling,tyht,-,Zucht,tocht,tukt
mōþuz,"tired, weary",mēþe,-,müde,moede,mod
stainīnaz,"stonen, made of stone",stǣnen,stonen,steinen,stenen,-
felgō,"felly, outer rim of a wheel",felg,felloe,Felge,velg,fälg
fleutaną,"to float, stream",flēotan,fleet,fließen,vlieten,flyta
haidraz,"bright, shining",hādor,hey,heiter,-,-
stallaz,"standing, position, stall, stable",steall,stall,Stall,stal,stall
stuþs,"support, prop, post",studu,stud,Stud,-,stöd
mairiją,"mooring post, post, boundary",mǣre,mere,-,meren,landamäre
dreusaną,to fall,drēosan,drowse,dräuschen,druisen,drösa
dangijaną,"to beat, hit",denġan,dinge,-,-,dänga
erpaz,"light brown, brown",eorp,-,Erpel,erpel,järpe
kubô,"shed, hut; originally ""wattle shed""",cofa,cove,Koben,koof,kova
drabaz,dregs,*dræf,draff,Treber,draf,drav
dreugaz,"enduring, lasting",*drēog,dree,-,-,dryg
drōbuz,"turbid, disturbed, troubled",drōf,droff,trüb,droef,drov
klibą,"cliff, rock",clif,cliff,Kliff,klif,-
speru,spear,spere,spear,Speer,speer,-
þwerhaz,"cross, adverse",þweorh,queer,verquast,dwars,queer
þurstuz,"dryness, thirst",þurst,thirst,Durst,dorst,törst
hurdiz,"wickerwork door or frame, hurdle",*hyrd,hoarding,Horde,horde,-
aspō,aspen,æspe,asp,Espe,esp,asp
þegnaz,"retainer, servant",þeġn,thane,Degen,degen,tegn
hlaidrijō,ladder,hlǣder,ladder,Leiter,ladder,-
nabō,"nave, hub",nafu,nave,Nabe,naaf,nav
hulmaz,"small island, hill, mound",holm,holm,Holm,holm,holme
hurhwą,"dirt, mucus, dirty substance",horh,-,Hor,hore,-
fanô,cloth; dook/duck (fabric),fana,fane,Fahne,vaan,fana
laikaną,"to jump, play, move, swing about",lācan,lake,laichen,-,leka
skardaz,"cut up, damaged",sċeard,shard,Scharte,-,-
flōaną,to flow,flōwan,flow,-,vloeien,floa
fleugǭ,"flying insect, fly",flēoge,fly,Fliege,vlieg,-
þrumą,"stump, trunk, block; butt, end",*þrum,thrum,Trumm,drom,tröm
mahtīgaz,mighty,mihtiġ,mighty,mächtig,machtig,mäktig
baidijaną,"to force, compel, demand",bǣdan,-,-,beiden,bedas
gangiz,"passable, going, able to go",genġe,-,gänge,-,gäng
farmaz,a fare,fearm,-,Farm,-,farm
spihtaz,woodpecker,*spiht,speight,Specht,specht,spett
baugaz,a bend; bow,bēag,bee,Baug,beugel,baug
maitaną,"to cut, hew",mǣded,mad,-,-,meta
stōdą,a herd of horses,stōd,stud,Stute,stoet,sto
þrautōną,to push,þrēatian,threat,-,droten,-
barugaz,"barrow, castrated boar",bearg,barrow,Barg,barg,-
laupaz,vessel; container; basket,lēap,leap,-,loop,löp
paddǭ,toad,padde,pad,Padde,pad,padda
kranô,crane (bird),cran,crane,Kran,kraan,kran
wangô,cheek; jaw,wange,wang,Wange,wang,-
slagiz,"blow, strike",sleġe,sley,Schlag,slag,slag
habilaz,That which raises or lifts; lifter.,hebel,heavel,Hebel,hevel,hävel
krōkaz,"something bent, a hook",*crōc,crook,-,-,krok
walô,wellness; weal,wela,weal,Wol,-,-
galaubijaną,to praise; commend,ġelīefan,-,glauben,geloven,-
slaiwaz,blunt; dull,slāw,slow,schlehe,sleeuw,slö
hailisōną,to greet; salute,hālsian,halse,-,-,hälsa
wlispaz,stammering; lisping,wlisp,lisp,-,-,läsp
klumpô,clasp; clamp,*clympe,clump,Klumpen,klomp,klump
kambijaną,to comb; kemb,cemban,kemb,kämmen,kemmen,kämma
swait-,sweat; blood,swāt,sweat,Schweiß,zweet,svett
salwaz,"dusky, grey",salu,sallow,sal,zaluw,-
sadulaz,saddle,sadol,saddle,Sattel,zadel,sadel
skrattuz,forest monster; goblin; troll,*scrætt,scrat,Schrätz,-,skret
snidaz,"a cut, slice, piece",snid,-,Einschnitt,-,sned
klautaz,"ball, lump",*clēat,cleat,Klöten,kloot,klot
kumbaz,"bowl, vessel",cumb,comb,Kump,kom,-
maginą,"ability, power, might, main",mæġen,main,-,-,mägen
raipaz,strip; margin,rāp,rope,Reep,reep,rep
mōraz,"marsh, moor",mōr,moor,Moor,moer,-
sairagaz,sad; saddened; grieved; sorry,*sāreġ,sorry,sorry,sorry,sårig
sailą,rope; cord,sāl,sole,Seil,zeel,-
smarōną,to mock; scoff at; deride,smerian,bismer,schmieren,besmeren,-
furibeudaną,"to forbid, prohibit, command against (doing something)",forbēodan,forbid,verbieten,verbieden,förbjuda
lusą,loss,los,loss,-,-,lossna
adalaz,liquid manure,adel,addle,Adel,aal,adel
ribją,rib,ribb,rib,Rippe,ribbe,ribba
bundą,bundle,bund,bond,Bund,bond,bunt
hraukaz,pile (of stones); heap,hrēac,reek,-,rook,rök
furist,"at first, firstly, in the first place",fyrst,first,-,-,först
knuzlijaną,to butt; bump; knock; beat,cnyllan,knell,knüllen,-,knulla
unkunþaz,unknown,uncūþ,unco,unkund,onkond,okund
īsarnīnaz,"iron, made of iron",īsern,-,eisern,ijzeren,-
flutōną,to float; drift,flotian,float,floaten,vlotten,flotta
faganaz,glad,fæġen,fain,-,-,fägen
sarkiz,"sark, shirt",sierċe,sark,-,-,särk
trewwō,"fidelity, pledge",trēow,truce,Treue,trouw,tro
dammijaną,to dam,*demman,dam,dämmen,dammen,dämma
hulą,a hollow; depression; hole,hol,hole,-,hol,hål
hulaz,hollow,hol,whole,hohl,hol,hål
falwaz,"pale, gray, fallow",fealu,fallow,fahl,vaal,fal
sīþuz,late,sīþ,-,seit,sedert,-
uzsōkijaną,"to seek out, search for",āsēċan,-,ersuchen,erzoeken,-
blēdrǭ,"bubble, blister, something inflated",blǣdre,bladder,Blatter,blaar,bläddra
krangijaną,"to make turn, fall",*crenġan,cringe,krängen,krengen,-
blējaną,to bleat,*blǣan,blea,blähen,-,-
blandaną,"to blend, make murky; to mix, mingle",blandan,blend,Blendling,-,blanda
kabisjō,concubine,ċiefes,-,Kebse,kevis,-
kwelaną,"to suffer, hurt",cwelan,queal,quälen,kwelen,-
kwaljaną,"to make suffer, to hurt",cwellan,quell,quälen,kwellen,kvälja
galdraz,singing; song,galdor,galder,Galsterei,-,galder
uberfullaz,"overly full, full to overflowing",oferfull,overfull,übervoll,overvol,-
gaizô,a wedge-shaped piece,gāra,gore,Gehre,-,gere
drunkiz,drink,drynċ,drink,Trunk,dronk,dryck
þrabōną,"to trot, trample",þrafian,thrave,traben,draven,trava
kīþą,"seed, germ; seedling, shoot, sprout",ċīþ,chit,Keid,-,-
nēhwaz,"nigh, near, close",nēah,nigh,nahe,na,-
hōpą,"bow, curve, arch",hōp,hoop,-,hoep,-
inngangaz,"a going in, entry, entrance",ingang,ingang,Eingang,ingang,ingång
ūtgangaz,"a going out, exit",ūtgang,outgang,Ausgang,uitgang,utgång
umbigangaz,"a going around, going about, circuit",ymbgang,umgang,Umgang,omgang,omgång
merkuz,dark,mirce,mirk,-,-,mörk
frageldaną,to pay up; remunerate,forġieldan,foryield,vergelten,vergelden,-
fragebaną,"to give, grant",forġiefan,forgive,vergeben,vergeven,förgiva
austraz,"east, eastward",ēast,east,-,-,öster
nurþraz,"north, northern",norþ,north,-,-,norr
nurþraz,"north, northward",norþ,north,-,noord,norr
sunþraz,"south, southward",sūþ,south,-,-,söder
westraz,"west, westward",west,west,-,-,väster
sunþanē,from the south,sūþan,-,Süden,zuiden,sunnan
sunþrizô,comparative degree of *sunþraz,sūþra,souther,-,-,södre
bedō,a request; a prayer; plea,bedu,bead,Bede,bede,-
uhnaz,oven; furnace,ofn,oven,Ofen,oven,ugn
nīþą,"hate, envy, malice",nīþ,-,Neid,nijd,nid
hnits,"nit, louse egg",hnitu,nit,Nisse,neet,-
þrūhs,"a hollow (wooden) object, such as a chute, pipe, trough, coffin",þrūh,through,Drauch(e),-,-
furhs,furrow,furh,furrow,Furche,voor,fåra
wisundz,"wisent, bison",wesend,wisent,Wisent,wisent,vessel
tangō,tongs,tang,tong,Zange,tang,tång
þrangwaz,pressing; narrow; tight,*þrang,-,drang,drang,trång
smirwijaną,"to smear, anoint",smirwan,smear,schmieren,smeren,smörja
smirwislą,"ointment, unguent",smirels,-,-,smeersel,smörjelse
ainahandijaz,"one-handed, having one hand, lame, imperfect",ānhende,-,einhändig,-,enhänt
īdalaz,"idle, void, unused",īdel,idle,eitel,ijdel,idel
jēmaraz,miserable,ġeōmor,-,-,jammer,jämmer
stinkwaną,to hit; thrust; clash,stincan,stink,stinken,stinken,stinka
wringaną,"to squeeze, twist, wring",wringan,wring,wringen,wringen,-
tainaz,rod,tān,tan,Zein,teen,ten
taitaz,radiant; bright,tāt,Tate,zeiß,-,-
skutiz,"shooting, shot",sċyte,schuss,Schuss,scheut,skótt
hrōzijaną,to stir,hrēran,rear,rühren,roeren,röra
herzô,bar; pole,heorra,har,-,har,-
kuppaz,round object; orb,copp,cop,Kopp,kop,kopp
arbijô,heir,ierfa,-,Erbe,erve,-
wihslaz,change,wrixl,veksel,Wechsel,wissel,växel
friþōną,"to make peace, pacify, keep the peace",friþian,-,frieden,vreden,freda
fardiz,"journey, voyage",ferd,ferd,Fahrt,vaart,fart
graftuz,"digging, carving",græft,-,Gracht,gracht,-
slahtuz,"striking, hitting, beating",sliht,slaught,-,-,slåtter
ambahtiją,"service, ministry, office, message",ambeht,-,Amt,ambacht,ämbete
fandōną,"to seek, search for, examine",fandian,-,fahnden,vanden,fan
langijaną,"to lengthen, make long",lengan,linge,längen,lengen,länga
spellōną,"to talk, tell, recount",spellian,spell,spellen,spellen,-
sanþōną,"to prove true, show to be true",sōþian,soothe,-,-,sanna
sadulōną,to saddle,sadolian,saddle,satteln,zadelen,sadla
wiljô,"will, wish, desire",willa,will,Wille,wil,vilja
strangijaną,"to fasten with a string, bind tight",strengan,string,strängen,strengen,-
wullīnaz,"woolen, made of wool",wyllen,woollen,wollen,wollen,yllen
baltijaz,belt,belt,belt,Balz,balts,bälte
straumijaną,"to stream, flow",*strīeman,stream,strömen,stromen,strömma
kaisaraz,emperor (of Rome),cāsere,Kaiser,Kaiser,keizer,kejsare
gaumijaną,"to heed, notice, observe, keep",ġīeman,-,gaumen,gomen,gömma
þurnaz,"thorn, briar",þorn,thorn,Dorn,doren,torn
kunþijaną,"to make known, announce",cȳþan,kithe,künden,konden,kynna
hardijaną,"to make hard, strong; to harden",hierdan,hard,härten,harden,härda
laugnijaną,to conceal; gainsay; deny,līegnan,lain,leugnen,loochenen,-
paþaz,path,pæþ,path,Pfad,pad,-
klībaną,"to stick, cling to",clīfan,cleave,kleiben,klijven,kliva
klibāną,"to stick, to adhere",clifian,cleave,kleben,kleven,klibba
laugiz,"flame, blaze",līġ,-,Lohe,laai,lukarr
flakkōną,to beat,*flaccian,flack,-,vlakken,-
flaumaz,stream; current; flow,flēam,fleam,flämisch,Vlaams,-
blautaz,soft,blēat,-,bloß,bloot,blott
hwalbą,"vault, arch",hwealf,hull-,-,-,valv
farą,"a means of passing, ford, ferry",fær,fare,Fahr,-,-
farō,"a going, journey, trip",faru,fare,Fahr,-,-
lappōną,"to lap, lick up",lapian,lap,-,labben,lapa
krabbô,crab,crabba,crab,Krabbe,krab,krabba
smittōną,"to stain, smear",smittian,smit,schmitzen,smetten,smitta
hnappōną,"to pick, pluck, tear off",hnappian,nap,napfezen,-,nappa
prikkōną,to prick,prician,prick,-,prikken,-
plukkōną,"to pluck, pull out or off",ploccian,pluck,pflocken,-,plocka
suppōną,to soak,soppian,sop,-,soppen,-
wlaitōną,"to look around, look for",wlātian,lait,-,-,leta
þukkōną,"to shove, push out of the way",*þocian,thokish,Tuck,-,-
þreutaną,"to bother, harass, weary",þrēotan,-,erdrießen,-,tryta
krimpaną,"to shrink, draw back",*crimpan,crimp,krimpen,krimpen,krympa
strīdaną,to stand upright,strīdan,stride,streiten,strijden,strida
fukkōną,"to strike, assail",*fuccian,fuck,-,fokken,fokka
truttōną,"to tread, trample, trot",tryddian,trot,-,trotten,-
abahandijaz,"out of one's hand, lost to one",ofhende,offhand,abhanden,afhandig,avhända
abalagjaną,"to lay down, set aside, put away",ofleċġan,offlay,ablegen,afleggen,avlägga
ebnalīkaz,"equal, fair",efnlīċ,evenly,-,-,jämlik
bruzdaz,"point, spike, thorn",brord,brod,Brort,-,brodd
þingōną,"to hold a meeting, discuss, speak for or of",þingian,thing,dingen,dingen,tinga
andijōną,"to end, bring to an end, finish",endian,end,enden,enden,-
birhtijaną,"to brighten, shine, make clear",birhtan,brighten,-,-,*birta
braidijaną,"to broaden, make broad, extend",brǣdan,brede,breiten,breden,breda
kwildiz,dying; death; downfall; end,cwild,-,Kilt,-,kväll
werþaz,"worthy, valuable",weorþ,worth,wert,waard,värd
stīfaz,"stiff, rigid",stīf,stiff,steif,stijf,styv
fradailijaną,"to deal away, give away, distribute, expend",fordǣlan,-,verteilen,verdelen,-
analagjaną,"lay upon, lay on",*onlecgan,onlay,anlegen,aanleggen,ålägga
fradōmijaną,"to condemn, damn",fordēman,fordeem,-,verdoemen,fördöma
augijaną,"to show, display, cause to see",ēowan,ogle,äugen,ogen,-
smultaz,quiet; still; serene; tranquil,smolt,smolt,-,smout,smulta
stultaz,proud,*stolt,stout,stolz,stout,stolt
buttaz,end; piece,*butt,but,Butt,bot,but
wrikkōną,"to twist, turn",wrigian,-,wricken,wrikken,-
makaz,"fit, suitable, agreeable, comfortable",mæc,mackly,-,mak,-
stankwiz,odor; fragrance,stenċ,stench,Stank,stank,stank
brandaz,fire; flame,brand,brand,Brand,brand,brand
nabją,beak,nebb,neb,Nippel,nippel,näbb
malmaz,sand,mealm,malm,Malm,malm,malm
kuddô,"bag; pod, shell, husk; sack; purse",*codda,cod,-,kodde,kudde
wōdaz,"excited, energised, spirited",wōd,wood,Wut,woede,od
krankaz,bent; crooked,*cranc,crank,krank,krank,krank
knukōną,To pound on; beat on; knock,cnocian,knock,-,knokken,knocka
bōkō,beech,bōc,book,Buche,beuk,bok
hurnijǭ,a little horn; hook,hyrne,hirn,-,-,hörna
plaggą,a piece of cloth or fabric,*plæcca,plack,Plagge,plag,plagg
krūmô,fragment; crumb,*crūma,crum,Krume,kruim,kråm
melukōną,to milk,meolcian,milk,-,-,mjölka
hlōaną,to shout,hlōwan,low,lühen,loeien,-
snōdō,string; rope,snōd,snood,-,sneu,snod
tindaz,tooth; cog; peg; tine,tind,tind,Zind,-,tinne
fērō,danger,fǣr,fear,Fahr,gevaar,fara
galpōną,to resound; sound out,*galpian,galp,galpen,galpen,galpa
fradraganą,to draw away; seduce,*fordragan,-,vertragen,verdragen,-
hīgōną,"to breathe (heavily), pant, snort, wheeze",hīgian,hie,hechen,hijgen,hicka
bangōną,to bang; pound; beat,*bangian,bang,bangen,bonken,banka
managiþō,quantity; amount,menigdu,-,-,menigte,mängd
makô,an equal; comrade; mate; match,ġemaca,make,Macker,makker,make
raidaz,"ready, arranged, prepared",rǣde,ready,bereit,reeds,redo
finhlō,"rasp, file",fīil,file,Feile,vijl,fil
wallaną,"to well up, spring out, bubble forth",wallan,wall,wallen,wallen,-
anadōną,to breathe; exhale,andian,-,ahnden,-,andas
swellaną,to swell,swellan,swell,schwellen,zwellen,svälla
þinhslō,"a drawbar, cartpole, or thill",þīxl,-,Deichsel,dissel,tistel
fraisōną,to attempt; try,frāsian,fraise,freisen,vrezen,-
murhǭ,wild carrot,more,more,Möhre,moor,morot
hleuzą,ear,hlēor,leer,-,lier,lyra
barjaną,"to beat, strike",berian,berry,beren,-,bärja
garaidijaną,"to arrange, set in order",ġerǣdan,ready,-,gereden,greja
terwą,tar,teoru,tar,Teer,teer,tjära
sprutô,"that which sprouts; shoot, sprout",sprota,sprot,Sprosse,-,-
waraz,cautious; heedful; wary; watchful,wær,ware,-,-,var
skuflō,shovel,sċofl,shovel,Schaufel,schoffel,skyffel
budą,offer,bod,bode,-,bod,bud
budô,messenger,boda,bode,Bote,bode,-
bullô,round object; ball; bowl,bolla,bowl,-,bol,bulle
dōg-,"A stem meaning ""day""",dōgor,-,-,doeg,dygn
tūmōną,to rotate; spin; revolve,tumbian,tumb,taumeln,tuimelen,-
ruppōną,to tear off,*ruppian,rip,rupfen,roppen,rubba
rīfaną,"to tear, rend",*rīfan,rive,-,-,riva
uzberaną,"to bear off, away",āberan,abear,erbären,-,-
liuhtijaną,"to give light, shine",līehtan,light,leuchten,luchten,-
inliuhtijaną,"to enlighten, illumine",inlīhtan,enlight,einleuchten,inlichten,-
gaburþiz,"birth, the act of giving birth",ġebyrd,-,Geburt,geboorte,-
gurdilaz,girdle,gyrdel,girdle,Gürtel,gordel,gördel
gurdijaną,to gird,gyrdan,gird,gürten,gorden,gjorda
weladēdiz,"good deed, benefit",weldǣd,-,Wohltat,weldaad,-
lugô,liar,loga,warlock,-,-,låga
witją,knowledge,witt,wit,Witz,wit,vits
rekaną,"to rake up, to pile up, to heap up",recan,reke,rechen,reken,-
gurą,half-digested stomach contents,gor,gore,Gur,goor,gur
wōsą,"juice, moisture",wōs,ooze,-,-,os
andabindaną,"to unbind, loosen, set free",onbindan,unbind,entbinden,ontbinden,-
stammijaną,"to cause to slow, stop",*stemman,stem,stemmen,stemmen,stämma
fōgijaną,to fit or join together,fēġan,fay,fügen,voegen,foga
grindaną,to grind,grindan,grind,-,grinden,-
skiljaną,to cut,sċiellan,skill,-,schillen,skilja
hrībaną,to scratch,hrīfnian,-,-,rijven,riva
sinnaną,to feel,sinnan,-,sinnen,zinnen,sinna
hlūdaz,loud,hlūd,loud,laut,luid,-
bansaz,crib; cradle,*bōs,boose,Banse,boes,bås
rībaz,generous; abundant,rīfe,rife,-,rijf,-
belganą,to swell,belgan,bellow,-,belgen,-
uftō,oft; often,oft,oft,oft,oft,ofta
skundijaną,to drive; speed up; accelerate,sċyndan,shunt,schünden,-,skynda
rindǭ,bark (tree),rinde,rind,Rinde,rinde,-
eburaz,boar,eofor,-,Eber,ever,jofur
tappô,plug; tap,tæppa,tap,Zapfen,tap,tapp
twīgą,branch,twiġ,twig,Zweig,twijg,-
aþulingaz,"prince, nobleman",æþeling,atheling,-,edeling,ädling
budilaz,one who carries out an order; beadle; bailiff,bydel,beadle,Büttel,beul,bödel
brimusī,"gadfly, horsefly",brīosa,breese,Bremse,brems,bröms
brausijaną,to break; crush,brīesan,bruise,brausen,-,brusa
burstiz,bristle,byrst,brush,Bürste,-,borst
burōną,"to drill, pierce",borian,bore,bohren,boren,borra
berkō,birch,beorc,-,Birke,berk,björk
klūtaz,"lump, clod",clūt,clout,-,kluit,klut
klinganą,"to adhere to, cling to",clingan,cling,-,klingen,-
krūdaną,to crowd,crūdan,crowd,-,kruien,-
ardiz,characteristic; inborn quality,*erd,-,Art,aard,art
stangō,bar; rod; stake,stenġ,stang,Stange,stang,stång
krumô,"crumb, fragment",cruma,crumb,Krume,-,krumma
þewanōstaz,service,*þēonost,-,Dienst,dienst,tjänst
wīnabasją,grape,wīnberġe,wineberry,Weinbeere,wijnbeer,vinbär
setlaz,seat; chair; settle,setl,settle,Sessel,zetel,-
blankijaną,"to shine, to blink, to flash",blenċan,blench,blenken,-,-
bakārijaz,one who creates baked goods; baker,bæcere,baker,Bäcker,bakker,bagare
bōkōną,"to book (i.e. make a book, put in a book, write a book, etc.)",bōcian,book,-,boeken,boka
burgōną,to borrow,borgian,borrow,borgen,borgen,borga
skaiþiz,"sheath, covering",sċēaþ,sheath,Scheide,schede,sked
airō,oar,ār,oar,-,-,år
bibāną,"to tremble, quake, shiver",bifian,bever,bibbern,beven,bäva
upanōną,to open,openian,open,öffnen,openen,öppna
kaupōną,to buy; trade,ċēapian,cheap,kaufen,kapen,köpa
plōgaz,plough,plōg,plough,Pflug,ploeg,plog
pīkaz,"sharp point, pike, pickaxe, peak",pīc,pike,Peik,piek,pik
sauþaz,boiling; seething,sēaþ,seath,-,-,söd
flahsą,flax,fleax,flax,Flachs,vlas,-
līną,flax,līn,line,Lein,lijn,lin
alamahtīgaz,almighty,ælmeahtiġ,almighty,allmächtig,almachtig,allsmäktig
awjōlandą,island,ēaland,iland,Eiland,eiland,Öland
aimuzjǭ,"ember, hot ash",ǣmyrġe,ember,Eimer,-,mörja
andijalausaz,endless,endelēas,endless,endlos,eindeloos,ändlös
midjagardaz,The world,middanġeard,Middle Earth,-,-,Midgård
pannǭ,pan,panne,pan,Pfanne,pan,panna
slīmą,slime,slīm,slime,Schleim,slijm,slem
rugiz,rye,ryġe,rye,-,-,råg
spituz,rod (for roasting meat),spitu,spit,-,spit,spett
sakkuz,"sack, bag, purse",sæċċ,sack,Sack,zak,säck
furhō,fir; pine,fyrh,fir,Föhre,Forolta,fura
hagatusjō,witch,hæġtesse,hag,Hexe,hagedis,häxa
amliz,"spelt-eating bird; ammer, yellowhammer",amor,ammer,Ammer,-,-
spiltaz,spelt (a type of wheat),spelt,spelt,Spelz,spelt,spelt
blinkaną,"to shine, glitter, twinkle",*blincan,blink,blinken,blinken,blinka
abjǭ,ebb,ebba,ebb,Ebbe,eb,ebb
midlą,middle,middel,middle,Mittel,middel,medel
kelǭ,throat,ċeole,jowl,Kehle,keel,-
rūhaz,rough,rūh,rough,rau,ruig,-
skīrijaną,"to make clear, make pure",sċīran,-,-,schieren,skira
auþijaną,to make empty; to desolate,īeþan,-,öden,-,öda
luką,lock,loc,lock,Loch,lok,lock
hriþiz,trembling; the shakes; the shivers,hriþ,-,Ritte,rede,-
burjaną,to lift up; levy,byrian,-,-,beuren,börja
limuz,limb; member,lim,limb,-,leem,lem
angulaz,hook,angol,angle,Angel,angel,angel
tundrą,tinder (material used to ignite fires),tyndre,tinder,Zunder,tonder,tunder
þrakjaz,dirt,þreahs,dreck,Dreck,drek,träck
skitiz,excrement; feces; shit,*sċite,shite,Schitte,schijt,skit
spiką,bacon,spiċ,speck,Speck,spek,späck
kōluz,cool,cōl,cool,kühl,koel,-
puhô,bag,pohha,pough,Pocke,pukkel,pockor
hakô,hook,haca,hake,Haken,haak,hake
unhulþaz,"unfriendly, hostile",unhold,-,unhold,onhoud,-
unhulþô,evil spirit,unholda,-,Unhold,onhoud,-
dukkǭ,"power, strength",*docce,dock,Docke,dok,docka
raihô,deer,rāha,roe,Reh,ree,rå
þerbaz,unleavened (of bread),þeorf,tharf,derb,derf,kärv
Raginawaldaz,a male given name,Ræġnold,Ronald,Reinhold,Reinoud,Ragnvald
tainijǭ,wickerwork,tǣnel,teanel,Zaine,-,tena
drūgiz,"hard, solid",drȳġe,dry,treuge,druig,-
ūdarą,udder,ūder,udder,Euter,jadder,juver
glawwaz,wise; prudent,glēaw,-,glau,glouw,-
hammō,shinbone,hamm,ham,Hamme,ham,hamboge
spadô,spade,spada,spade,Spaten,spade,spade
turbz,"turf, peat",turf,turf,Torf,turf,torv
Audawarduz,a male given name,Ēadweard,Edward,Eduard,-,Edvard
gaitīnaz,Of or relating to goats; goatlike; caprine,gǣten,goaten,geißen,-,-
sparāną,to be thrifty; be conservative; be sparing,sparian,spare,sparen,sparen,spara
tibǭ,bitch (female dog),tife,-,Zibbe,teef,täva
tigulǭ,tile,tigele,tile,Ziegel,tegel,tegel
sōkniz,investigation; probe; examination; inquiry,sōcn,soc,Suche,-,socken
